epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,77.1809,0.59781,0.74956,1,0.48422,0.0669509,0.000166076,0.000166076
2,148.651,0.49998,0.79218,1,0.42553,0.0337842,0.000332661,0.000332661
3,219.374,0.48625,0.84192,1,0.37534,0.000617124,0.000498921,0.000498921
4,290.807,0.50042,0.86679,1,0.31651,0.000498902,0.000498902,0.000498902
5,359.809,0.46797,0.87922,1,0.30695,0.000498048,0.000498048,0.000498048
6,428.225,0.4221,0.85968,1,0.35786,0.000496953,0.000496953,0.000496953
7,497.17,0.41174,0.89343,1,0.27012,0.000495616,0.000495616,0.000495616
8,565.425,0.40438,0.84547,1,0.39556,0.000494039,0.000494039,0.000494039
9,634.179,0.40468,0.82948,1,0.40668,0.000492224,0.000492224,0.000492224
10,702.695,0.34688,0.88632,1,0.26865,0.000490173,0.000490173,0.000490173
11,770.956,0.32447,0.80284,1,0.44717,0.000487886,0.000487886,0.000487886
12,839.137,0.31598,0.87389,1,0.2836,0.000485368,0.000485368,0.000485368
13,907.821,0.29795,0.87211,1,0.33602,0.00048262,0.00048262,0.00048262
14,976.173,0.27401,0.88277,1,0.25693,0.000479644,0.000479644,0.000479644
15,1045.07,0.26319,0.90231,1,0.29654,0.000476445,0.000476445,0.000476445
16,1113.78,0.29098,0.85968,1,0.35972,0.000473024,0.000473024,0.000473024
17,1182.44,0.27595,0.82771,1,0.37281,0.000469386,0.000469386,0.000469386
18,1251.14,0.24756,0.89165,1,0.29657,0.000465534,0.000465534,0.000465534
19,1320.07,0.22162,0.87744,1,0.3186,0.000461471,0.000461471,0.000461471
20,1388.79,0.22296,0.88455,1,0.26781,0.000457202,0.000457202,0.000457202
21,1457.21,0.20076,0.88277,1,0.32139,0.000452732,0.000452732,0.000452732
22,1526.26,0.21343,0.89876,1,0.29559,0.000448063,0.000448063,0.000448063
23,1594.63,0.21379,0.89165,1,0.26733,0.000443202,0.000443202,0.000443202
24,1663.61,0.18341,0.89343,1,0.30699,0.000438152,0.000438152,0.000438152
25,1733.03,0.22429,0.85435,1,0.3552,0.00043292,0.00043292,0.00043292
26,1802.24,0.18023,0.87034,1,0.35107,0.000427509,0.000427509,0.000427509
27,1871.17,0.20622,0.87389,1,0.29427,0.000421925,0.000421925,0.000421925
28,1940.5,0.17537,0.8881,1,0.28509,0.000416175,0.000416175,0.000416175
29,2009.06,0.13697,0.88988,1,0.29547,0.000410262,0.000410262,0.000410262
30,2077.84,0.13378,0.89876,1,0.30428,0.000404194,0.000404194,0.000404194
